"id","province_id","name","alt_name","latitude","longitude"
"3301","33","KABUPATEN CILACAP","KABUPATEN CILACAP","-7.57417","108.98861"
"3302","33","KABUPATEN BANYUMAS","KABUPATEN BANYUMAS","-7.45","109.16667"
"3303","33","KABUPATEN PURBALINGGA","KABUPATEN PURBALINGGA","-7.28417","109.35028"
"3304","33","KABUPATEN BANJARNEGARA","KABUPATEN BANJARNEGARA","-7.35111","109.5875"
"3305","33","KABUPATEN KEBUMEN","KABUPATEN KEBUMEN","-7.63917","109.66056"
"3306","33","KABUPATEN PURWOREJO","KABUPATEN PURWOREJO","-7.7","109.96667"
"3307","33","KABUPATEN WONOSOBO","KABUPATEN WONOSOBO","-7.36139","109.92667"
"3308","33","KABUPATEN MAGELANG","KABUPATEN MAGELANG","-7.4275","110.16194"
"3309","33","KABUPATEN BOYOLALI","KABUPATEN BOYOLALI","-7.5","110.7"
"3310","33","KABUPATEN KLATEN","KABUPATEN KLATEN","-7.68333","110.61667"
"3311","33","KABUPATEN SUKOHARJO","KABUPATEN SUKOHARJO","-7.68333","110.83333"
"3312","33","KABUPATEN WONOGIRI","KABUPATEN WONOGIRI","-7.91667","111"
"3313","33","KABUPATEN KARANGANYAR","KABUPATEN KARANGANYAR","-7.62806","111.0625"
"3314","33","KABUPATEN SRAGEN","KABUPATEN SRAGEN","-7.41278","110.935"
"3315","33","KABUPATEN GROBOGAN","KABUPATEN GROBOGAN","-7.11667","110.91667"
"3316","33","KABUPATEN BLORA","KABUPATEN BLORA","-7.06667","111.38333"
"3317","33","KABUPATEN REMBANG","KABUPATEN REMBANG","-6.78333","111.46667"
"3318","33","KABUPATEN PATI","KABUPATEN PATI","-6.76667","111.1"
"3319","33","KABUPATEN KUDUS","KABUPATEN KUDUS","-6.8","110.86667"
"3320","33","KABUPATEN JEPARA","KABUPATEN JEPARA","-6.58333","110.76667"
"3321","33","KABUPATEN DEMAK","KABUPATEN DEMAK","-6.8993","110.6122"
"3322","33","KABUPATEN SEMARANG","KABUPATEN SEMARANG","-7.20667","110.44139"
"3323","33","KABUPATEN TEMANGGUNG","KABUPATEN TEMANGGUNG","-7.25","110.11667"
"3324","33","KABUPATEN KENDAL","KABUPATEN KENDAL","-7.0256","110.1685"
"3325","33","KABUPATEN BATANG","KABUPATEN BATANG","-7.03333","109.88333"
"3326","33","KABUPATEN PEKALONGAN","KABUPATEN PEKALONGAN","-7.0319","109.624"
"3327","33","KABUPATEN PEMALANG","KABUPATEN PEMALANG","-7.03333","109.4"
"3328","33","KABUPATEN TEGAL","KABUPATEN TEGAL","-7.03333","109.16667"
"3329","33","KABUPATEN BREBES","KABUPATEN BREBES","-7.05","108.9"
"3371","33","KOTA MAGELANG","KOTA MAGELANG","-7.5","110.225"
"3372","33","KOTA SURAKARTA","KOTA SURAKARTA","-7.55","110.81667"
"3373","33","KOTA SALATIGA","KOTA SALATIGA","-7.33278","110.48333"
"3374","33","KOTA SEMARANG","KOTA SEMARANG","-7.03333","110.38333"
"3375","33","KOTA PEKALONGAN","KOTA PEKALONGAN","-6.9","109.68333"
"3376","33","KOTA TEGAL","KOTA TEGAL","-6.8686","109.1129"
